Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.685	1	0	1	-81.3821
0.686	1	0	1	-81.3821
0.69	1	0	1	-81.3821
0.695	1	0	1	-81.3821
0.7	1	0	1	-81.3821
0.705	1	0	1	-81.3821
0.71	1	0	1	-81.3821
0.715	1	0	1	-81.3821
0.72	1	0	1	-81.3821
0.725	1	0	1	-81.3821
0.73	1	0	1	-81.3821
0.735	1	0	1	-81.3821
0.74	1	0	1	-81.3821
0.745	1	0	1	-81.3821
0.75	1	0	1	-81.3821
0.755	1	0	1	-81.3821
0.76	1	0	1	-81.3821
0.765	1	0	1	-81.3821
0.766	1	0	1	-81.3821
0.77	1	0	1	-81.3821
0.775	1	0	1	-81.3821
0.78	1	0	1	-81.3821
0.785	1	0	1	-81.3821
0.79	1	0	1	-81.3821
0.795	1	0	1	-81.3821
0.8	1	0	1	-81.3821
0.805	1	0	1	-81.3821
0.81	1	0	1	-81.3821
0.815	1	0	1	-81.3821
0.82	1	0	1	-81.3821
0.825	1	0	1	-81.3821
0.83	1	0	1	-81.3821
0.835	1	0	1	-81.3821
0.84	1	0	1	-81.3821
0.845	1	0	1	-81.3821
0.846	1	0	1	-81.3821
0.85	1	0	1	-81.3821
0.855	1	0	1	-81.3821
0.86	1	0	1	-81.3821
0.865	1	0	1	-81.3821
0.87	1	0	1	-81.3821
0.875	1	0	1	-81.3821
0.88	1	0	1	-81.3821
0.885	1	0	1	-81.3821
0.89	1	0	1	-81.3821
0.895	1	0	1	-81.3821
0.9	1	0	1	-81.3821
0.905	1	0	1	-81.3821
0.91	1	0	1	-81.3821
0.915	1	0	1	-81.3821
0.92	1	0	1	-81.3821
0.925	1	0	1	-81.3821
0.926	1	0	1	-81.3821
0.93	1	0	1	-81.3821
0.935	1	0	1	-81.3821
0.94	1	0	1	-81.3821
0.945	1	0	1	-81.3821
0.95	1	0	1	-81.3821
0.955	1	0	1	-81.3821
0.96	1	0	1	-81.3821
0.965	1	0	1	-81.3821
0.97	1	0	1	-81.3821
0.975	1	0	1	-81.3821
0.98	1	0	1	-81.3821
0.985	1	0	1	-81.3821
0.99	1	0	1	-81.3821
0.995	1	0	1	-81.3821
