time(s)	cellId	rnti	lcid	packetSize
0.564	2	1	4	1282
0.565	2	2	4	1282
0.565	2	1	4	1282
0.566	2	2	4	1282
0.566	2	1	4	1282
0.567	2	2	4	1282
0.567	2	1	4	1282
0.568	2	2	4	1282
0.568	2	1	4	1282
0.569	2	2	4	1282
0.569	2	1	4	1282
0.57	2	2	4	1282
0.57	2	1	4	1282
0.571	2	2	4	1282
0.571	2	1	4	1282
0.572	2	2	4	1282
0.572	2	1	4	1282
0.573	2	2	4	1282
0.573	2	1	4	1282
0.574	2	2	4	1282
0.574	2	1	4	1282
0.575	2	2	4	1282
0.575	2	1	4	1282
0.576	2	2	4	1282
0.576	2	1	4	1282
0.577	2	2	4	1282
0.577	2	1	4	1282
0.578	2	2	4	1282
0.578	2	1	4	1282
0.579	2	2	4	1282
0.579	2	1	4	1282
0.58	2	2	4	1282
0.58	2	1	4	1282
0.581	2	2	4	1282
0.581	2	1	4	1282
0.582	2	2	4	1282
0.582	2	1	4	1282
0.583	2	2	4	1282
0.583	2	1	4	1282
0.584	2	2	4	1282
0.584	2	1	4	1282
0.585	2	2	4	1282
0.585	2	1	4	1282
0.586	2	2	4	1282
0.586	2	1	4	1282
0.587	2	2	4	1282
0.587	2	1	4	1282
0.588	2	2	4	1282
0.588	2	1	4	1282
0.589	2	2	4	1282
0.589	2	1	4	1282
0.59	2	2	4	1282
0.59	2	1	4	1282
0.591	2	2	4	1282
0.591	2	1	4	1282
0.592	2	2	4	1282
0.592	2	1	4	1282
0.593	2	2	4	1282
0.593	2	1	4	1282
0.594	2	2	4	1282
0.594	2	1	4	1282
0.595	2	2	4	1282
0.595	2	1	4	1282
0.596	2	2	4	1282
0.596	2	1	4	1282
0.597	2	2	4	1282
0.597	2	1	4	1282
0.598	2	2	4	1282
0.598	2	1	4	1282
0.599	2	2	4	1282
0.599	2	1	4	1282
0.6	2	2	4	1282
0.6	2	1	4	1282
0.601	2	2	4	1282
0.601	2	1	4	1282
0.602	2	2	4	1282
0.602	2	1	4	1282
0.603	2	2	4	1282
0.603	2	1	4	1282
0.604	2	2	4	1282
0.604	2	1	4	1282
0.605	2	2	4	1282
0.605	2	1	4	1282
0.606	2	2	4	1282
0.606	2	1	4	1282
0.607	2	2	4	1282
0.607	2	1	4	1282
0.608	2	2	4	1282
0.608	2	1	4	1282
0.609	2	2	4	1282
0.609	2	1	4	1282
0.61	2	2	4	1282
0.61	2	1	4	1282
0.611	2	2	4	1282
0.611	2	1	4	1282
0.612	2	2	4	1282
0.612	2	1	4	1282
0.613	2	2	4	1282
0.613	2	1	4	1282
0.614	2	2	4	1282
0.614	2	1	4	1282
0.615	2	2	4	1282
0.615	2	1	4	1282
0.616	2	2	4	1282
0.616	2	1	4	1282
0.617	2	2	4	1282
0.617	2	1	4	1282
0.618	2	2	4	1282
0.618	2	1	4	1282
0.619	2	2	4	1282
0.619	2	1	4	1282
0.62	2	2	4	1282
0.62	2	1	4	1282
0.621	2	2	4	1282
0.621	2	1	4	1282
0.622	2	2	4	1282
0.622	2	1	4	1282
0.623	2	2	4	1282
0.623	2	1	4	1282
0.624	2	2	4	1282
0.624	2	1	4	1282
0.625	2	2	4	1282
0.625	2	1	4	1282
0.626	2	2	4	1282
0.626	2	1	4	1282
0.627	2	2	4	1282
0.627	2	1	4	1282
0.628	2	2	4	1282
0.628	2	1	4	1282
0.629	2	2	4	1282
0.629	2	1	4	1282
0.63	2	2	4	1282
0.63	2	1	4	1282
0.631	2	2	4	1282
0.631	2	1	4	1282
0.632	2	2	4	1282
0.632	2	1	4	1282
0.633	2	2	4	1282
0.633	2	1	4	1282
0.634	2	2	4	1282
0.634	2	1	4	1282
0.635	2	2	4	1282
0.635	2	1	4	1282
0.636	2	2	4	1282
0.636	2	1	4	1282
0.637	2	2	4	1282
0.637	2	1	4	1282
0.638	2	2	4	1282
0.638	2	1	4	1282
0.639	2	2	4	1282
0.639	2	1	4	1282
0.64	2	2	4	1282
0.64	2	1	4	1282
0.641	2	2	4	1282
0.641	2	1	4	1282
0.642	2	2	4	1282
0.642	2	1	4	1282
0.643	2	2	4	1282
0.643	2	1	4	1282
0.644	2	2	4	1282
0.644	2	1	4	1282
0.645	2	2	4	1282
0.645	2	1	4	1282
0.646	2	2	4	1282
0.646	2	1	4	1282
0.647	2	2	4	1282
0.647	2	1	4	1282
0.648	2	2	4	1282
0.648	2	1	4	1282
0.649	2	2	4	1282
0.649	2	1	4	1282
0.65	2	2	4	1282
0.65	2	1	4	1282
0.651	2	2	4	1282
0.651	2	1	4	1282
0.652	2	2	4	1282
0.652	2	1	4	1282
0.653	2	2	4	1282
0.653	2	1	4	1282
0.654	2	2	4	1282
0.654	2	1	4	1282
0.655	2	2	4	1282
0.655	2	1	4	1282
0.656	2	2	4	1282
0.656	2	1	4	1282
0.657	2	2	4	1282
0.657	2	1	4	1282
0.658	2	2	4	1282
0.658	2	1	4	1282
0.659	2	2	4	1282
0.659	2	1	4	1282
0.66	2	2	4	1282
0.66	2	1	4	1282
0.661	2	2	4	1282
0.661	2	1	4	1282
0.662	2	2	4	1282
0.662	2	1	4	1282
0.663	2	2	4	1282
0.663	2	1	4	1282
0.664	2	2	4	1282
0.664	2	1	4	1282
0.665	2	2	4	1282
0.665	2	1	4	1282
0.666	2	2	4	1282
0.666	2	1	4	1282
0.667	2	2	4	1282
0.667	2	1	4	1282
0.668	2	2	4	1282
0.668	2	1	4	1282
0.669	2	2	4	1282
0.669	2	1	4	1282
0.67	2	2	4	1282
0.67	2	1	4	1282
0.671	2	2	4	1282
0.671	2	1	4	1282
0.672	2	2	4	1282
0.672	2	1	4	1282
0.673	2	2	4	1282
0.673	2	1	4	1282
0.674	2	2	4	1282
0.674	2	1	4	1282
0.675	2	2	4	1282
0.675	2	1	4	1282
0.676	2	2	4	1282
0.676	2	1	4	1282
0.677	2	2	4	1282
0.677	2	1	4	1282
0.678	2	2	4	1282
0.678	2	1	4	1282
0.679	2	2	4	1282
0.679	2	1	4	1282
0.68	2	2	4	1282
0.68	2	1	4	1282
0.681	2	2	4	1282
0.681	2	1	4	1282
0.682	2	2	4	1282
0.682	2	1	4	1282
0.683	2	2	4	1282
0.683	2	1	4	1282
0.684	2	2	4	1282
0.684	2	1	4	1282
0.685	2	2	4	1282
0.685	2	1	4	1282
0.686	2	2	4	1282
0.686	2	1	4	1282
0.687	2	2	4	1282
0.687	2	1	4	1282
0.688	2	2	4	1282
0.688	2	1	4	1282
0.689	2	2	4	1282
0.689	2	1	4	1282
0.69	2	2	4	1282
0.69	2	1	4	1282
0.691	2	2	4	1282
0.691	2	1	4	1282
0.692	2	2	4	1282
0.692	2	1	4	1282
0.693	2	2	4	1282
0.693	2	1	4	1282
0.694	2	2	4	1282
0.694	2	1	4	1282
0.695	2	2	4	1282
0.695	2	1	4	1282
0.696	2	2	4	1282
0.696	2	1	4	1282
0.697	2	2	4	1282
0.697	2	1	4	1282
0.698	2	2	4	1282
0.698	2	1	4	1282
0.699	2	2	4	1282
0.699	2	1	4	1282
0.7	2	2	4	1282
0.7	2	1	4	1282
0.701	2	2	4	1282
0.701	2	1	4	1282
0.702	2	2	4	1282
0.702	2	1	4	1282
0.703	2	2	4	1282
0.703	2	1	4	1282
0.704	2	2	4	1282
0.704	2	1	4	1282
0.705	2	2	4	1282
0.705	2	1	4	1282
0.706	2	2	4	1282
0.706	2	1	4	1282
0.707	2	2	4	1282
0.707	2	1	4	1282
0.708	2	2	4	1282
0.708	2	1	4	1282
0.709	2	2	4	1282
0.709	2	1	4	1282
0.71	2	2	4	1282
0.71	2	1	4	1282
0.711	2	2	4	1282
0.711	2	1	4	1282
0.712	2	2	4	1282
0.712	2	1	4	1282
0.713	2	2	4	1282
0.713	2	1	4	1282
0.714	2	2	4	1282
0.714	2	1	4	1282
0.715	2	2	4	1282
0.715	2	1	4	1282
0.716	2	2	4	1282
0.716	2	1	4	1282
0.717	2	2	4	1282
0.717	2	1	4	1282
0.718	2	2	4	1282
0.718	2	1	4	1282
0.719	2	2	4	1282
0.719	2	1	4	1282
0.72	2	2	4	1282
0.72	2	1	4	1282
0.721	2	2	4	1282
0.721	2	1	4	1282
0.722	2	2	4	1282
0.722	2	1	4	1282
0.723	2	2	4	1282
0.723	2	1	4	1282
0.724	2	2	4	1282
0.724	2	1	4	1282
0.725	2	2	4	1282
0.725	2	1	4	1282
0.726	2	2	4	1282
0.726	2	1	4	1282
0.727	2	2	4	1282
0.727	2	1	4	1282
0.728	2	2	4	1282
0.728	2	1	4	1282
0.729	2	2	4	1282
0.729	2	1	4	1282
0.73	2	2	4	1282
0.73	2	1	4	1282
0.731	2	2	4	1282
0.731	2	1	4	1282
0.732	2	2	4	1282
0.732	2	1	4	1282
0.733	2	2	4	1282
0.733	2	1	4	1282
0.734	2	2	4	1282
0.734	2	1	4	1282
0.735	2	2	4	1282
0.735	2	1	4	1282
0.736	2	2	4	1282
0.736	2	1	4	1282
0.737	2	2	4	1282
0.737	2	1	4	1282
0.738	2	2	4	1282
0.738	2	1	4	1282
0.739	2	2	4	1282
0.739	2	1	4	1282
0.74	2	2	4	1282
0.74	2	1	4	1282
0.741	2	2	4	1282
0.741	2	1	4	1282
0.742	2	2	4	1282
0.742	2	1	4	1282
0.743	2	2	4	1282
0.743	2	1	4	1282
0.744	2	2	4	1282
0.744	2	1	4	1282
0.745	2	2	4	1282
0.745	2	1	4	1282
0.746	2	2	4	1282
0.746	2	1	4	1282
0.747	2	2	4	1282
0.747	2	1	4	1282
0.748	2	2	4	1282
0.748	2	1	4	1282
0.749	2	2	4	1282
0.749	2	1	4	1282
0.75	2	2	4	1282
0.75	2	1	4	1282
0.751	2	2	4	1282
0.751	2	1	4	1282
0.752	2	2	4	1282
0.752	2	1	4	1282
0.753	2	2	4	1282
0.753	2	1	4	1282
0.754	2	2	4	1282
0.754	2	1	4	1282
0.755	2	2	4	1282
0.755	2	1	4	1282
0.756	2	2	4	1282
0.756	2	1	4	1282
0.757	2	2	4	1282
0.757	2	1	4	1282
0.758	2	2	4	1282
0.758	2	1	4	1282
0.759	2	2	4	1282
0.759	2	1	4	1282
0.76	2	2	4	1282
0.76	2	1	4	1282
0.761	2	2	4	1282
0.761	2	1	4	1282
0.762	2	2	4	1282
