time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.6901	2	1	4	8934	0.00309999
0.6901	2	1	5	8934	0.00309999
0.6911	2	1	4	8934	0.00309999
0.6911	2	1	5	8934	0.00309999
0.692029	2	1	4	8247	0.00302856
0.692029	2	1	5	8247	0.00302856
0.6951	2	1	4	8934	0.00309999
0.6951	2	1	5	8934	0.00309999
0.6961	2	1	4	8934	0.00309999
0.6961	2	1	5	8934	0.00309999
0.697029	2	1	4	8247	0.00302856
0.697029	2	1	5	8247	0.00302856
0.7001	2	1	4	8934	0.00309999
0.7001	2	1	5	8934	0.00309999
0.7011	2	1	4	8934	0.00309999
0.7011	2	1	5	8934	0.00309999
0.702029	2	1	4	8247	0.00302856
0.702029	2	1	5	8247	0.00302856
0.7051	2	1	4	8934	0.00309999
0.7051	2	1	5	8934	0.00309999
0.7061	2	1	4	8934	0.00309999
0.7061	2	1	5	8934	0.00309999
0.707029	2	1	4	8247	0.00302856
0.707029	2	1	5	8247	0.00302856
0.7101	2	1	4	8934	0.00309999
0.7101	2	1	5	8934	0.00309999
0.7111	2	1	4	8934	0.00309999
0.7111	2	1	5	8934	0.00309999
0.712029	2	1	4	8247	0.00302856
0.712029	2	1	5	8247	0.00302856
0.7151	2	1	4	8934	0.00309999
0.7151	2	1	5	8934	0.00309999
0.7161	2	1	4	8934	0.00309999
0.7161	2	1	5	8934	0.00309999
0.717029	2	1	4	8247	0.00302856
0.717029	2	1	5	8247	0.00302856
0.7201	2	1	4	8934	0.00309999
0.7201	2	1	5	8934	0.00309999
0.7211	2	1	4	8934	0.00309999
0.7211	2	1	5	8934	0.00309999
0.722029	2	1	4	8247	0.00302856
0.722029	2	1	5	8247	0.00302856
0.7251	2	1	4	8934	0.00309999
0.7251	2	1	5	8934	0.00309999
0.7261	2	1	4	8934	0.00309999
0.7261	2	1	5	8934	0.00309999
0.727029	2	1	4	8247	0.00302856
0.727029	2	1	5	8247	0.00302856
0.7301	2	1	4	8934	0.00309999
0.7301	2	1	5	8934	0.00309999
0.7311	2	1	4	8934	0.00309999
0.7311	2	1	5	8934	0.00309999
0.732029	2	1	4	8247	0.00302856
0.732029	2	1	5	8247	0.00302856
0.7351	2	1	4	8934	0.00309999
0.7351	2	1	5	8934	0.00309999
0.7361	2	1	4	8934	0.00309999
0.7361	2	1	5	8934	0.00309999
0.737029	2	1	4	8247	0.00302856
0.737029	2	1	5	8247	0.00302856
0.7401	2	1	4	8934	0.00309999
0.7401	2	1	5	8934	0.00309999
0.7411	2	1	4	8934	0.00309999
0.7411	2	1	5	8934	0.00309999
0.742029	2	1	4	8247	0.00302856
0.742029	2	1	5	8247	0.00302856
0.7451	2	1	4	8934	0.00309999
0.7451	2	1	5	8934	0.00309999
0.7461	2	1	4	8934	0.00309999
0.7461	2	1	5	8934	0.00309999
0.747029	2	1	4	8247	0.00302856
0.747029	2	1	5	8247	0.00302856
0.7501	2	1	4	8934	0.00309999
0.7501	2	1	5	8934	0.00309999
0.7511	2	1	4	8934	0.00309999
0.7511	2	1	5	8934	0.00309999
0.752029	2	1	4	8247	0.00302856
0.752029	2	1	5	8247	0.00302856
0.7551	2	1	4	8934	0.00309999
0.7551	2	1	5	8934	0.00309999
0.7561	2	1	4	8934	0.00309999
0.7561	2	1	5	8934	0.00309999
0.757029	2	1	4	8247	0.00302856
0.757029	2	1	5	8247	0.00302856
0.7601	2	1	4	8934	0.00309999
0.7601	2	1	5	8934	0.00309999
0.7611	2	1	4	8934	0.00309999
0.7611	2	1	5	8934	0.00309999
0.762029	2	1	4	8247	0.00302856
0.762029	2	1	5	8247	0.00302856
0.7651	2	1	4	8934	0.00309999
0.7651	2	1	5	8934	0.00309999
0.7661	2	1	4	8934	0.00309999
0.7661	2	1	5	8934	0.00309999
0.767029	2	1	4	8247	0.00302856
0.767029	2	1	5	8247	0.00302856
0.7701	2	1	4	8934	0.00309999
0.7701	2	1	5	8934	0.00309999
0.7711	2	1	4	8934	0.00309999
0.7711	2	1	5	8934	0.00309999
0.772029	2	1	4	8247	0.00302856
0.772029	2	1	5	8247	0.00302856
0.7751	2	1	4	8934	0.00309999
0.7751	2	1	5	8934	0.00309999
0.7761	2	1	4	8934	0.00309999
0.7761	2	1	5	8934	0.00309999
0.777029	2	1	4	8247	0.00302856
0.777029	2	1	5	8247	0.00302856
0.7801	2	1	4	8934	0.00309999
0.7801	2	1	5	8934	0.00309999
0.7811	2	1	4	8934	0.00309999
0.7811	2	1	5	8934	0.00309999
0.782029	2	1	4	8247	0.00302856
0.782029	2	1	5	8247	0.00302856
0.7851	2	1	4	8934	0.00309999
0.7851	2	1	5	8934	0.00309999
0.7861	2	1	4	8934	0.00309999
0.7861	2	1	5	8934	0.00309999
0.787029	2	1	4	8247	0.00302856
0.787029	2	1	5	8247	0.00302856
0.7901	2	1	4	8934	0.00309999
0.7901	2	1	5	8934	0.00309999
0.7911	2	1	4	8934	0.00309999
0.7911	2	1	5	8934	0.00309999
0.792029	2	1	4	8247	0.00302856
0.792029	2	1	5	8247	0.00302856
0.7951	2	1	4	8934	0.00309999
0.7951	2	1	5	8934	0.00309999
0.7961	2	1	4	8934	0.00309999
0.7961	2	1	5	8934	0.00309999
0.797029	2	1	4	8247	0.00302856
0.797029	2	1	5	8247	0.00302856
0.8001	2	1	4	8934	0.00309999
0.8001	2	1	5	8934	0.00309999
0.8011	2	1	4	8934	0.00309999
0.8011	2	1	5	8934	0.00309999
0.802029	2	1	4	8247	0.00302856
0.802029	2	1	5	8247	0.00302856
0.8051	2	1	4	8934	0.00309999
0.8051	2	1	5	8934	0.00309999
0.8061	2	1	4	8934	0.00309999
0.8061	2	1	5	8934	0.00309999
0.807029	2	1	4	8247	0.00302856
0.807029	2	1	5	8247	0.00302856
0.8101	2	1	4	8934	0.00309999
0.8101	2	1	5	8934	0.00309999
0.8111	2	1	4	8934	0.00309999
0.8111	2	1	5	8934	0.00309999
0.812029	2	1	4	8247	0.00302856
0.812029	2	1	5	8247	0.00302856
0.8151	2	1	4	8934	0.00309999
0.8151	2	1	5	8934	0.00309999
0.8161	2	1	4	8934	0.00309999
0.8161	2	1	5	8934	0.00309999
0.817029	2	1	4	8247	0.00302856
0.817029	2	1	5	8247	0.00302856
0.8201	2	1	4	8934	0.00309999
0.8201	2	1	5	8934	0.00309999
0.8211	2	1	4	8934	0.00309999
0.8211	2	1	5	8934	0.00309999
0.822029	2	1	4	8247	0.00302856
0.822029	2	1	5	8247	0.00302856
0.8251	2	1	4	8934	0.00309999
0.8251	2	1	5	8934	0.00309999
0.8261	2	1	4	8934	0.00309999
0.8261	2	1	5	8934	0.00309999
0.827029	2	1	4	8247	0.00302856
0.827029	2	1	5	8247	0.00302856
0.8301	2	1	4	8934	0.00309999
0.8301	2	1	5	8934	0.00309999
0.8311	2	1	4	8934	0.00309999
0.8311	2	1	5	8934	0.00309999
0.832029	2	1	4	8247	0.00302856
0.832029	2	1	5	8247	0.00302856
0.8351	2	1	4	8934	0.00309999
0.8351	2	1	5	8934	0.00309999
0.8361	2	1	4	8934	0.00309999
0.8361	2	1	5	8934	0.00309999
0.837029	2	1	4	8247	0.00302856
0.837029	2	1	5	8247	0.00302856
0.8401	2	1	4	8934	0.00309999
0.8401	2	1	5	8934	0.00309999
0.8411	2	1	4	8934	0.00309999
0.8411	2	1	5	8934	0.00309999
0.842029	2	1	4	8247	0.00302856
0.842029	2	1	5	8247	0.00302856
0.8451	2	1	4	8934	0.00309999
0.8451	2	1	5	8934	0.00309999
0.8461	2	1	4	8934	0.00309999
0.8461	2	1	5	8934	0.00309999
0.847029	2	1	4	8247	0.00302856
0.847029	2	1	5	8247	0.00302856
0.8501	2	1	4	8934	0.00309999
0.8501	2	1	5	8934	0.00309999
0.8511	2	1	4	8934	0.00309999
