Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
0.527929	UL	52	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.527929	UL	52	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.528429	UL	52	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.528429	UL	52	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.528929	UL	52	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.528929	UL	52	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.532429	UL	53	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.532429	UL	53	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.532929	UL	53	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.532929	UL	53	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.533429	UL	53	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.533429	UL	53	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.533929	UL	53	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.533929	UL	53	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.537429	UL	53	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.537429	UL	53	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.537929	UL	53	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.537929	UL	53	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.538429	UL	53	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.538429	UL	53	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.538929	UL	53	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.538929	UL	53	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.542429	UL	54	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.542429	UL	54	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.542929	UL	54	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.542929	UL	54	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.543429	UL	54	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.543429	UL	54	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.543929	UL	54	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.543929	UL	54	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.547429	UL	54	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.547429	UL	54	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.547929	UL	54	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.547929	UL	54	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.548429	UL	54	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.548429	UL	54	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.548929	UL	54	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.548929	UL	54	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.552429	UL	55	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.552429	UL	55	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.552929	UL	55	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.552929	UL	55	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.553429	UL	55	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.553429	UL	55	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.553929	UL	55	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.553929	UL	55	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.557429	UL	55	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.557429	UL	55	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.557929	UL	55	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.557929	UL	55	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.558429	UL	55	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.558429	UL	55	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.558929	UL	55	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.558929	UL	55	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.562429	UL	56	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.562429	UL	56	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.562929	UL	56	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.562929	UL	56	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.563429	UL	56	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.563429	UL	56	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.563929	UL	56	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.563929	UL	56	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.567429	UL	56	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.567429	UL	56	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.567929	UL	56	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.567929	UL	56	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.568429	UL	56	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.568429	UL	56	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.568929	UL	56	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.568929	UL	56	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.572429	UL	57	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.572429	UL	57	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.572929	UL	57	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.572929	UL	57	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.573429	UL	57	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.573429	UL	57	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.573929	UL	57	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.573929	UL	57	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.577429	UL	57	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.577429	UL	57	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.577929	UL	57	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.577929	UL	57	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
