time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.593029	2	2	4	1282	0.0410286
0.593029	2	2	4	1282	0.0400286
0.593529	2	1	4	1282	0.0575286
0.593529	2	1	4	1282	0.0565286
0.594029	2	2	4	1282	0.0400286
0.594029	2	2	4	1282	0.0390286
0.597529	2	1	4	1282	0.0595286
0.597529	2	1	4	1282	0.0585286
0.598029	2	2	4	1282	0.0420286
0.598029	2	2	4	1282	0.0410286
0.598529	2	1	4	1282	0.0585286
0.598529	2	1	4	1282	0.0575286
0.599029	2	2	4	1282	0.0410286
0.599029	2	2	4	1282	0.0400286
0.602529	2	1	4	1282	0.0605286
0.603029	2	2	4	1282	0.0430286
0.603029	2	2	4	1282	0.0420286
0.603529	2	1	4	1282	0.0605286
0.603529	2	1	4	1282	0.0595286
0.604029	2	2	4	1282	0.0420286
0.604029	2	2	4	1282	0.0410286
0.607529	2	1	4	1282	0.0625286
0.607529	2	1	4	1282	0.0615286
0.608029	2	2	4	1282	0.0440286
0.608029	2	2	4	1282	0.0430286
0.608029	2	2	4	1282	0.0420286
0.608529	2	1	4	1282	0.0615286
0.608529	2	1	4	1282	0.0605286
0.609029	2	2	4	1282	0.0420286
0.609029	2	2	4	1282	0.0410286
0.612529	2	1	4	1282	0.0635286
0.612529	2	1	4	1282	0.0625286
0.613029	2	2	4	1282	0.0440286
0.613029	2	2	4	1282	0.0430286
0.613529	2	1	4	1282	0.0625286
0.613529	2	1	4	1282	0.0615286
0.614029	2	2	4	1282	0.0430286
0.614029	2	2	4	1282	0.0420286
0.617529	2	1	4	1282	0.0645286
0.617529	2	1	4	1282	0.0635286
0.618029	2	2	4	1282	0.0450286
0.618029	2	2	4	1282	0.0440286
0.618529	2	1	4	1282	0.0635286
0.618529	2	1	4	1282	0.0625286
0.619029	2	2	4	1282	0.0440286
0.619029	2	2	4	1282	0.0430286
0.619029	2	2	4	1282	0.0420286
0.622529	2	1	4	1282	0.0655286
0.623029	2	2	4	1282	0.0450286
0.623029	2	2	4	1282	0.0440286
0.623529	2	1	4	1282	0.0655286
0.623529	2	1	4	1282	0.0645286
0.624029	2	2	4	1282	0.0440286
0.624029	2	2	4	1282	0.0430286
0.627529	2	1	4	1282	0.0675286
0.627529	2	1	4	1282	0.0665286
0.628029	2	2	4	1282	0.0460286
0.628029	2	2	4	1282	0.0450286
0.628529	2	1	4	1282	0.0665286
0.628529	2	1	4	1282	0.0655286
0.629029	2	2	4	1282	0.0450286
0.629029	2	2	4	1282	0.0440286
0.632529	2	1	4	1282	0.0685286
0.632529	2	1	4	1282	0.0675286
0.633029	2	2	4	1282	0.0470286
0.633029	2	2	4	1282	0.0460286
0.633529	2	1	4	1282	0.0675286
0.633529	2	1	4	1282	0.0665286
0.634029	2	2	4	1282	0.0460286
0.634029	2	2	4	1282	0.0450286
0.634029	2	2	4	1282	0.0440286
0.637529	2	1	4	1282	0.0695286
0.637529	2	1	4	1282	0.0685286
0.638029	2	2	4	1282	0.0470286
0.638029	2	2	4	1282	0.0460286
0.638529	2	1	4	1282	0.0685286
0.639029	2	2	4	1282	0.0460286
0.639029	2	2	4	1282	0.0450286
0.642529	2	1	4	1282	0.0715286
0.642529	2	1	4	1282	0.0705286
0.643029	2	2	4	1282	0.0480286
0.643029	2	2	4	1282	0.0470286
0.643529	2	1	4	1282	0.0705286
0.643529	2	1	4	1282	0.0695286
0.644029	2	2	4	1282	0.0470286
0.644029	2	2	4	1282	0.0460286
0.647529	2	1	4	1282	0.0725286
0.647529	2	1	4	1282	0.0715286
0.648029	2	2	4	1282	0.0490286
0.648029	2	2	4	1282	0.0480286
0.648529	2	1	4	1282	0.0715286
0.648529	2	1	4	1282	0.0705286
0.649029	2	2	4	1282	0.0480286
0.649029	2	2	4	1282	0.0470286
0.649029	2	2	4	1282	0.0460286
0.652529	2	1	4	1282	0.0735286
0.652529	2	1	4	1282	0.0725286
0.653029	2	2	4	1282	0.0490286
0.653029	2	2	4	1282	0.0480286
0.653529	2	1	4	1282	0.0725286
0.653529	2	1	4	1282	0.0715286
0.654029	2	2	4	1282	0.0480286
0.654029	2	2	4	1282	0.0470286
0.657529	2	1	4	1282	0.0745286
0.658029	2	2	4	1282	0.0500286
0.658029	2	2	4	1282	0.0490286
0.658529	2	1	4	1282	0.0745286
0.658529	2	1	4	1282	0.0735286
0.659029	2	2	4	1282	0.0490286
0.659029	2	2	4	1282	0.0480286
0.662529	2	1	4	1282	0.0765286
0.662529	2	1	4	1282	0.0755286
0.663029	2	2	4	1282	0.0510286
0.663029	2	2	4	1282	0.0500286
0.663029	2	2	4	1282	0.0490286
0.663529	2	1	4	1282	0.0755286
0.663529	2	1	4	1282	0.0745286
0.664029	2	2	4	1282	0.0490286
0.664029	2	2	4	1282	0.0480286
0.667529	2	1	4	1282	0.0775286
0.667529	2	1	4	1282	0.0765286
0.668029	2	2	4	1282	0.0510286
0.668029	2	2	4	1282	0.0500286
0.668529	2	1	4	1282	0.0765286
0.668529	2	1	4	1282	0.0755286
0.669029	2	2	4	1282	0.0500286
0.669029	2	2	4	1282	0.0490286
0.672529	2	1	4	1282	0.0785286
0.672529	2	1	4	1282	0.0775286
0.673029	2	2	4	1282	0.0520286
0.673029	2	2	4	1282	0.0510286
0.673529	2	1	4	1282	0.0775286
0.673529	2	1	4	1282	0.0765286
0.674029	2	2	4	1282	0.0510286
0.674029	2	2	4	1282	0.0500286
0.677529	2	1	4	1282	0.0795286
0.678029	2	2	4	1282	0.0530286
0.678029	2	2	4	1282	0.0520286
0.678029	2	2	4	1282	0.0510286
0.678529	2	1	4	1282	0.0795286
0.678529	2	1	4	1282	0.0785286
0.679029	2	2	4	1282	0.0510286
0.679029	2	2	4	1282	0.0500286
0.682529	2	1	4	1282	0.0815286
0.682529	2	1	4	1282	0.0805286
0.683029	2	2	4	1282	0.0530286
0.683029	2	2	4	1282	0.0520286
0.683529	2	1	4	1282	0.0805286
0.683529	2	1	4	1282	0.0795286
0.684029	2	2	4	1282	0.0520286
0.684029	2	2	4	1282	0.0510286
0.687529	2	1	4	1282	0.0825286
0.687529	2	1	4	1282	0.0815286
0.688029	2	2	4	1282	0.0540286
0.688029	2	2	4	1282	0.0530286
0.688529	2	1	4	1282	0.0815286
