time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.947029	2	1	4	945	0.250127
0.947029	2	1	5	945	0.250926
0.947029	2	1	5	945	0.250826
0.947029	2	1	5	945	0.250726
0.947029	2	1	5	945	0.250626
0.947029	2	1	5	945	0.250526
0.947029	2	1	5	945	0.250426
0.947029	2	1	5	945	0.250326
0.947029	2	1	5	945	0.250226
0.947029	2	1	5	945	0.250126
0.9501	2	1	4	945	0.253098
0.9501	2	1	4	945	0.252998
0.9501	2	1	4	945	0.252898
0.9501	2	1	4	945	0.252798
0.9501	2	1	4	945	0.252698
0.9501	2	1	4	945	0.252598
0.9501	2	1	4	945	0.252498
0.9501	2	1	4	945	0.252398
0.9501	2	1	4	945	0.252298
0.9501	2	1	4	945	0.252198
0.9501	2	1	5	945	0.253098
0.9501	2	1	5	945	0.252998
0.9501	2	1	5	945	0.252898
0.9501	2	1	5	945	0.252798
0.9501	2	1	5	945	0.252698
0.9501	2	1	5	945	0.252598
0.9501	2	1	5	945	0.252498
0.9501	2	1	5	945	0.252398
0.9501	2	1	5	945	0.252298
0.9501	2	1	5	945	0.252198
0.9511	2	1	4	945	0.253098
0.9511	2	1	4	945	0.252998
0.9511	2	1	4	945	0.252898
0.9511	2	1	4	945	0.252798
0.9511	2	1	4	945	0.252698
0.9511	2	1	4	945	0.252598
0.9511	2	1	4	945	0.252498
0.9511	2	1	4	945	0.252398
0.9511	2	1	4	945	0.252298
0.9511	2	1	5	945	0.253098
0.9511	2	1	5	945	0.252998
0.9511	2	1	5	945	0.252898
0.9511	2	1	5	945	0.252798
0.9511	2	1	5	945	0.252698
0.9511	2	1	5	945	0.252598
0.9511	2	1	5	945	0.252498
0.9511	2	1	5	945	0.252398
0.9511	2	1	5	945	0.252298
0.952029	2	1	4	945	0.253127
0.952029	2	1	4	945	0.253027
0.952029	2	1	4	945	0.252927
0.952029	2	1	4	945	0.252827
0.952029	2	1	4	945	0.252727
0.952029	2	1	4	945	0.252627
0.952029	2	1	4	945	0.252527
0.952029	2	1	4	945	0.252427
0.952029	2	1	4	945	0.252327
0.952029	2	1	5	945	0.253126
0.952029	2	1	5	945	0.253026
0.952029	2	1	5	945	0.252926
0.952029	2	1	5	945	0.252826
