time(s)	cellId	rnti	lcid	packetSize
1.002	2	1	4	8934
1.002	2	1	5	8934
1.003	2	1	4	8934
1.003	2	1	5	8934
1.004	2	1	4	8247
1.004	2	1	5	8247
1.007	2	1	4	8934
1.007	2	1	5	8934
1.008	2	1	4	8934
1.008	2	1	5	8934
1.009	2	1	4	8247
1.009	2	1	5	8247
1.012	2	1	4	8934
1.012	2	1	5	8934
1.013	2	1	4	8934
1.013	2	1	5	8934
1.014	2	1	4	8247
1.014	2	1	5	8247
1.017	2	1	4	8934
1.017	2	1	5	8934
1.018	2	1	4	8934
1.018	2	1	5	8934
1.019	2	1	4	8247
1.019	2	1	5	8247
1.022	2	1	4	8934
1.022	2	1	5	8934
1.023	2	1	4	8934
1.023	2	1	5	8934
1.024	2	1	4	8247
1.024	2	1	5	8247
1.027	2	1	4	8934
1.027	2	1	5	8934
1.028	2	1	4	8934
1.028	2	1	5	8934
1.029	2	1	4	8247
1.029	2	1	5	8247
1.032	2	1	4	8934
1.032	2	1	5	8934
1.033	2	1	4	8934
1.033	2	1	5	8934
1.034	2	1	4	8247
1.034	2	1	5	8247
1.037	2	1	4	8934
1.037	2	1	5	8934
1.038	2	1	4	8934
1.038	2	1	5	8934
1.039	2	1	4	8247
1.039	2	1	5	8247
1.042	2	1	4	8934
1.042	2	1	5	8934
1.043	2	1	4	8934
1.043	2	1	5	8934
1.044	2	1	4	8247
1.044	2	1	5	8247
1.047	2	1	4	8934
1.047	2	1	5	8934
1.048	2	1	4	8934
1.048	2	1	5	8934
1.049	2	1	4	8247
1.049	2	1	5	8247
1.052	2	1	4	8934
1.052	2	1	5	8934
1.053	2	1	4	8934
1.053	2	1	5	8934
1.054	2	1	4	8247
1.054	2	1	5	8247
1.057	2	1	4	8934
1.057	2	1	5	8934
1.058	2	1	4	8934
1.058	2	1	5	8934
1.059	2	1	4	8247
1.059	2	1	5	8247
1.062	2	1	4	8934
1.062	2	1	5	8934
1.063	2	1	4	8934
1.063	2	1	5	8934
1.064	2	1	4	8247
1.064	2	1	5	8247
1.067	2	1	4	8934
1.067	2	1	5	8934
1.068	2	1	4	8934
1.068	2	1	5	8934
1.069	2	1	4	8247
1.069	2	1	5	8247
1.072	2	1	4	8934
1.072	2	1	5	8934
1.073	2	1	4	8934
1.073	2	1	5	8934
1.074	2	1	4	8247
1.074	2	1	5	8247
1.077	2	1	4	8934
1.077	2	1	5	8934
1.078	2	1	4	8934
1.078	2	1	5	8934
1.079	2	1	4	8247
1.079	2	1	5	8247
1.082	2	1	4	8934
1.082	2	1	5	8934
1.083	2	1	4	8934
1.083	2	1	5	8934
1.084	2	1	4	8247
1.084	2	1	5	8247
1.087	2	1	4	8934
1.087	2	1	5	8934
1.088	2	1	4	8934
1.088	2	1	5	8934
1.089	2	1	4	8247
1.089	2	1	5	8247
1.092	2	1	4	8934
1.092	2	1	5	8934
1.093	2	1	4	8934
1.093	2	1	5	8934
1.094	2	1	4	8247
1.094	2	1	5	8247
1.097	2	1	4	8934
1.097	2	1	5	8934
1.098	2	1	4	8934
1.098	2	1	5	8934
1.099	2	1	4	8247
1.099	2	1	5	8247
1.102	2	1	4	8934
1.102	2	1	5	8934
1.103	2	1	4	8934
1.103	2	1	5	8934
1.104	2	1	4	8247
1.104	2	1	5	8247
1.107	2	1	4	8934
1.107	2	1	5	8934
1.108	2	1	4	8934
1.108	2	1	5	8934
1.109	2	1	4	8247
1.109	2	1	5	8247
1.112	2	1	4	8934
1.112	2	1	5	8934
1.113	2	1	4	8934
1.113	2	1	5	8934
1.114	2	1	4	8247
1.114	2	1	5	8247
1.117	2	1	4	8934
1.117	2	1	5	8934
1.118	2	1	4	8934
1.118	2	1	5	8934
1.119	2	1	4	8247
1.119	2	1	5	8247
1.122	2	1	4	8934
1.122	2	1	5	8934
1.123	2	1	4	8934
1.123	2	1	5	8934
1.124	2	1	4	8247
1.124	2	1	5	8247
1.127	2	1	4	8934
1.127	2	1	5	8934
1.128	2	1	4	8934
1.128	2	1	5	8934
1.129	2	1	4	8247
1.129	2	1	5	8247
1.132	2	1	4	8934
1.132	2	1	5	8934
1.133	2	1	4	8934
1.133	2	1	5	8934
1.134	2	1	4	8247
1.134	2	1	5	8247
1.137	2	1	4	8934
1.137	2	1	5	8934
1.138	2	1	4	8934
1.138	2	1	5	8934
1.139	2	1	4	8247
1.139	2	1	5	8247
1.142	2	1	4	8934
1.142	2	1	5	8934
1.143	2	1	4	8934
1.143	2	1	5	8934
1.144	2	1	4	8247
1.144	2	1	5	8247
1.147	2	1	4	8934
1.147	2	1	5	8934
1.148	2	1	4	8934
1.148	2	1	5	8934
1.149	2	1	4	8247
1.149	2	1	5	8247
1.152	2	1	4	8934
1.152	2	1	5	8934
1.153	2	1	4	8934
1.153	2	1	5	8934
1.154	2	1	4	8247
1.154	2	1	5	8247
1.157	2	1	4	8934
1.157	2	1	5	8934
1.158	2	1	4	8934
1.158	2	1	5	8934
1.159	2	1	4	8247
