time(s)	cellId	rnti	lcid	packetSize
0.430102	2	1	4	945
0.430102	2	1	5	945
0.430202	2	1	4	945
0.430202	2	1	5	945
0.430302	2	1	4	945
0.430302	2	1	5	945
0.430402	2	1	4	945
0.430402	2	1	5	945
0.430502	2	1	4	945
0.430502	2	1	5	945
0.430602	2	1	4	945
0.430602	2	1	5	945
0.430702	2	1	4	945
0.430702	2	1	5	945
0.430802	2	1	4	945
0.430802	2	1	5	945
0.430902	2	1	4	945
0.430902	2	1	5	945
0.431002	2	1	4	945
0.431002	2	1	5	945
0.431102	2	1	4	945
0.431102	2	1	5	945
0.431202	2	1	4	945
0.431202	2	1	5	945
0.431302	2	1	4	945
0.431302	2	1	5	945
0.431402	2	1	4	945
0.431402	2	1	5	945
0.431502	2	1	4	945
0.431502	2	1	5	945
0.431602	2	1	4	945
0.431602	2	1	5	945
0.431702	2	1	4	945
0.431702	2	1	5	945
0.431802	2	1	4	945
0.431802	2	1	5	945
0.431902	2	1	4	945
0.431902	2	1	5	945
0.432002	2	1	4	945
0.432002	2	1	5	945
0.432102	2	1	4	945
0.432102	2	1	5	945
0.432202	2	1	4	945
0.432202	2	1	5	945
0.432302	2	1	4	945
0.432302	2	1	5	945
0.432402	2	1	4	945
0.432402	2	1	5	945
0.432502	2	1	4	945
0.432502	2	1	5	945
0.432602	2	1	4	945
0.432602	2	1	5	945
0.432702	2	1	4	945
0.432702	2	1	5	945
0.432802	2	1	4	945
0.432802	2	1	5	945
0.432902	2	1	4	945
0.432902	2	1	5	945
0.433002	2	1	4	945
0.433002	2	1	5	945
0.433102	2	1	4	945
0.433102	2	1	5	945
0.433202	2	1	4	945
0.433202	2	1	5	945
0.433302	2	1	4	945
0.433302	2	1	5	945
0.433402	2	1	4	945
0.433402	2	1	5	945
0.433502	2	1	4	945
0.433502	2	1	5	945
0.433602	2	1	4	945
0.433602	2	1	5	945
0.433702	2	1	4	945
0.433702	2	1	5	945
0.433802	2	1	4	945
0.433802	2	1	5	945
0.433902	2	1	4	945
0.433902	2	1	5	945
0.434002	2	1	4	945
0.434002	2	1	5	945
0.434102	2	1	4	945
0.434102	2	1	5	945
0.434202	2	1	4	945
0.434202	2	1	5	945
0.434302	2	1	4	945
0.434302	2	1	5	945
0.434402	2	1	4	945
0.434402	2	1	5	945
0.434502	2	1	4	945
0.434502	2	1	5	945
0.434602	2	1	4	945
0.434602	2	1	5	945
0.434702	2	1	4	945
0.434702	2	1	5	945
0.434802	2	1	4	945
0.434802	2	1	5	945
0.434902	2	1	4	945
0.434902	2	1	5	945
0.435002	2	1	4	945
0.435002	2	1	5	945
0.435102	2	1	4	945
0.435102	2	1	5	945
0.435202	2	1	4	945
0.435202	2	1	5	945
0.435302	2	1	4	945
0.435302	2	1	5	945
0.435402	2	1	4	945
0.435402	2	1	5	945
0.435502	2	1	4	945
0.435502	2	1	5	945
0.435602	2	1	4	945
0.435602	2	1	5	945
0.435702	2	1	4	945
0.435702	2	1	5	945
0.435802	2	1	4	945
0.435802	2	1	5	945
0.435902	2	1	4	945
0.435902	2	1	5	945
0.436002	2	1	4	945
0.436002	2	1	5	945
0.436102	2	1	4	945
0.436102	2	1	5	945
0.436202	2	1	4	945
0.436202	2	1	5	945
0.436302	2	1	4	945
0.436302	2	1	5	945
0.436402	2	1	4	945
0.436402	2	1	5	945
0.436502	2	1	4	945
0.436502	2	1	5	945
0.436602	2	1	4	945
0.436602	2	1	5	945
0.436702	2	1	4	945
0.436702	2	1	5	945
0.436802	2	1	4	945
0.436802	2	1	5	945
0.436902	2	1	4	945
0.436902	2	1	5	945
0.437002	2	1	4	945
0.437002	2	1	5	945
0.437102	2	1	4	945
0.437102	2	1	5	945
0.437202	2	1	4	945
0.437202	2	1	5	945
0.437302	2	1	4	945
0.437302	2	1	5	945
0.437402	2	1	4	945
0.437402	2	1	5	945
0.437502	2	1	4	945
0.437502	2	1	5	945
0.437602	2	1	4	945
0.437602	2	1	5	945
0.437702	2	1	4	945
0.437702	2	1	5	945
0.437802	2	1	4	945
0.437802	2	1	5	945
0.437902	2	1	4	945
0.437902	2	1	5	945
0.438002	2	1	4	945
0.438002	2	1	5	945
0.438102	2	1	4	945
0.438102	2	1	5	945
0.438202	2	1	4	945
0.438202	2	1	5	945
0.438302	2	1	4	945
0.438302	2	1	5	945
0.438402	2	1	4	945
0.438402	2	1	5	945
0.438502	2	1	4	945
0.438502	2	1	5	945
0.438602	2	1	4	945
0.438602	2	1	5	945
0.438702	2	1	4	945
0.438702	2	1	5	945
0.438802	2	1	4	945
0.438802	2	1	5	945
0.438902	2	1	4	945
0.438902	2	1	5	945
0.439002	2	1	4	945
0.439002	2	1	5	945
0.439102	2	1	4	945
0.439102	2	1	5	945
0.439202	2	1	4	945
0.439202	2	1	5	945
0.439302	2	1	4	945
0.439302	2	1	5	945
0.439402	2	1	4	945
0.439402	2	1	5	945
0.439502	2	1	4	945
0.439502	2	1	5	945
0.439602	2	1	4	945
0.439602	2	1	5	945
0.439702	2	1	4	945
0.439702	2	1	5	945
0.439802	2	1	4	945
0.439802	2	1	5	945
0.439902	2	1	4	945
0.439902	2	1	5	945
0.440002	2	1	4	945
0.440002	2	1	5	945
0.440102	2	1	4	945
0.440102	2	1	5	945
0.440202	2	1	4	945
0.440202	2	1	5	945
0.440302	2	1	4	945
0.440302	2	1	5	945
0.440402	2	1	4	945
0.440402	2	1	5	945
0.440502	2	1	4	945
0.440502	2	1	5	945
0.440602	2	1	4	945
0.440602	2	1	5	945
0.440702	2	1	4	945
0.440702	2	1	5	945
0.440802	2	1	4	945
0.440802	2	1	5	945
0.440902	2	1	4	945
0.440902	2	1	5	945
0.441002	2	1	4	945
0.441002	2	1	5	945
0.441102	2	1	4	945
0.441102	2	1	5	945
0.441202	2	1	4	945
0.441202	2	1	5	945
0.441302	2	1	4	945
0.441302	2	1	5	945
0.441402	2	1	4	945
0.441402	2	1	5	945
0.441502	2	1	4	945
0.441502	2	1	5	945
0.441602	2	1	4	945
0.441602	2	1	5	945
0.441702	2	1	4	945
0.441702	2	1	5	945
0.441802	2	1	4	945
0.441802	2	1	5	945
0.441902	2	1	4	945
0.441902	2	1	5	945
0.442002	2	1	4	945
0.442002	2	1	5	945
0.442102	2	1	4	945
0.442102	2	1	5	945
0.442202	2	1	4	945
0.442202	2	1	5	945
0.442302	2	1	4	945
0.442302	2	1	5	945
0.442402	2	1	4	945
0.442402	2	1	5	945
0.442502	2	1	4	945
0.442502	2	1	5	945
0.442602	2	1	4	945
0.442602	2	1	5	945
0.442702	2	1	4	945
0.442702	2	1	5	945
0.442802	2	1	4	945
0.442802	2	1	5	945
0.442902	2	1	4	945
0.442902	2	1	5	945
0.443002	2	1	4	945
0.443002	2	1	5	945
0.443102	2	1	4	945
0.443102	2	1	5	945
0.443202	2	1	4	945
0.443202	2	1	5	945
0.443302	2	1	4	945
0.443302	2	1	5	945
0.443402	2	1	4	945
0.443402	2	1	5	945
0.443502	2	1	4	945
0.443502	2	1	5	945
0.443602	2	1	4	945
0.443602	2	1	5	945
0.443702	2	1	4	945
0.443702	2	1	5	945
0.443802	2	1	4	945
0.443802	2	1	5	945
0.443902	2	1	4	945
0.443902	2	1	5	945
0.444002	2	1	4	945
0.444002	2	1	5	945
0.444102	2	1	4	945
0.444102	2	1	5	945
0.444202	2	1	4	945
0.444202	2	1	5	945
0.444302	2	1	4	945
0.444302	2	1	5	945
0.444402	2	1	4	945
0.444402	2	1	5	945
0.444502	2	1	4	945
0.444502	2	1	5	945
0.444602	2	1	4	945
0.444602	2	1	5	945
0.444702	2	1	4	945
0.444702	2	1	5	945
0.444802	2	1	4	945
0.444802	2	1	5	945
0.444902	2	1	4	945
0.444902	2	1	5	945
0.445002	2	1	4	945
0.445002	2	1	5	945
0.445102	2	1	4	945
0.445102	2	1	5	945
0.445202	2	1	4	945
0.445202	2	1	5	945
0.445302	2	1	4	945
0.445302	2	1	5	945
0.445402	2	1	4	945
0.445402	2	1	5	945
0.445502	2	1	4	945
0.445502	2	1	5	945
0.445602	2	1	4	945
0.445602	2	1	5	945
0.445702	2	1	4	945
0.445702	2	1	5	945
0.445802	2	1	4	945
0.445802	2	1	5	945
0.445902	2	1	4	945
0.445902	2	1	5	945
0.446002	2	1	4	945
0.446002	2	1	5	945
0.446102	2	1	4	945
0.446102	2	1	5	945
0.446202	2	1	4	945
0.446202	2	1	5	945
0.446302	2	1	4	945
0.446302	2	1	5	945
0.446402	2	1	4	945
0.446402	2	1	5	945
0.446502	2	1	4	945
0.446502	2	1	5	945
0.446602	2	1	4	945
0.446602	2	1	5	945
0.446702	2	1	4	945
0.446702	2	1	5	945
0.446802	2	1	4	945
0.446802	2	1	5	945
0.446902	2	1	4	945
0.446902	2	1	5	945
0.447002	2	1	4	945
0.447002	2	1	5	945
0.447102	2	1	4	945
0.447102	2	1	5	945
0.447202	2	1	4	945
0.447202	2	1	5	945
0.447302	2	1	4	945
0.447302	2	1	5	945
0.447402	2	1	4	945
0.447402	2	1	5	945
0.447502	2	1	4	945
0.447502	2	1	5	945
0.447602	2	1	4	945
0.447602	2	1	5	945
0.447702	2	1	4	945
0.447702	2	1	5	945
0.447802	2	1	4	945
0.447802	2	1	5	945
0.447902	2	1	4	945
0.447902	2	1	5	945
0.448002	2	1	4	945
0.448002	2	1	5	945
0.448102	2	1	4	945
0.448102	2	1	5	945
0.448202	2	1	4	945
0.448202	2	1	5	945
0.448302	2	1	4	945
0.448302	2	1	5	945
0.448402	2	1	4	945
0.448402	2	1	5	945
0.448502	2	1	4	945
0.448502	2	1	5	945
0.448602	2	1	4	945
0.448602	2	1	5	945
0.448702	2	1	4	945
0.448702	2	1	5	945
0.448802	2	1	4	945
0.448802	2	1	5	945
0.448902	2	1	4	945
0.448902	2	1	5	945
0.449002	2	1	4	945
0.449002	2	1	5	945
0.449102	2	1	4	945
0.449102	2	1	5	945
0.449202	2	1	4	945
0.449202	2	1	5	945
0.449302	2	1	4	945
0.449302	2	1	5	945
0.449402	2	1	4	945
0.449402	2	1	5	945
0.449502	2	1	4	945
0.449502	2	1	5	945
0.449602	2	1	4	945
0.449602	2	1	5	945
0.449702	2	1	4	945
0.449702	2	1	5	945
