% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.668	1	0	2	1	67	2	0	0	6	14	1	0	28	2404
0.668	1	0	1	2	67	2	0	6	7	15	1	0	28	2806
0.669	1	0	2	1	67	3	0	0	6	15	1	0	28	2404
0.669	1	0	1	2	67	3	0	6	7	14	1	0	28	2806
0.673	1	0	2	1	67	7	0	0	6	14	1	0	28	2404
0.673	1	0	1	2	67	7	0	6	7	15	1	0	28	2806
0.674	1	0	2	1	67	8	0	0	6	15	1	0	28	2404
0.674	1	0	1	2	67	8	0	6	7	14	1	0	28	2806
0.678	1	0	2	1	68	2	0	0	6	14	1	0	28	2404
0.678	1	0	1	2	68	2	0	6	7	15	1	0	28	2806
0.679	1	0	2	1	68	3	0	0	6	15	1	0	28	2404
0.679	1	0	1	2	68	3	0	6	7	14	1	0	28	2806
0.683	1	0	2	1	68	7	0	0	6	14	1	0	28	2404
0.683	1	0	1	2	68	7	0	6	7	15	1	0	28	2806
0.684	1	0	2	1	68	8	0	0	6	15	1	0	28	2404
0.684	1	0	1	2	68	8	0	6	7	14	1	0	28	2806
0.688	1	0	2	1	69	2	0	0	6	14	1	0	28	2404
0.688	1	0	1	2	69	2	0	6	7	15	1	0	28	2806
0.689	1	0	2	1	69	3	0	0	6	15	1	0	28	2404
0.689	1	0	1	2	69	3	0	6	7	14	1	0	28	2806
0.693	1	0	2	1	69	7	0	0	6	14	1	0	28	2404
0.693	1	0	1	2	69	7	0	6	7	15	1	0	28	2806
0.694	1	0	2	1	69	8	0	0	6	15	1	0	28	2404
0.694	1	0	1	2	69	8	0	6	7	14	1	0	28	2806
0.698	1	0	2	1	70	2	0	0	6	14	1	0	28	2404
0.698	1	0	1	2	70	2	0	6	7	15	1	0	28	2806
0.699	1	0	2	1	70	3	0	0	6	15	1	0	28	2404
0.699	1	0	1	2	70	3	0	6	7	14	1	0	28	2806
0.703	1	0	2	1	70	7	0	0	6	14	1	0	28	2404
0.703	1	0	1	2	70	7	0	6	7	15	1	0	28	2806
0.704	1	0	2	1	70	8	0	0	6	15	1	0	28	2404
0.704	1	0	1	2	70	8	0	6	7	14	1	0	28	2806
0.708	1	0	2	1	71	2	0	0	6	14	1	0	28	2404
0.708	1	0	1	2	71	2	0	6	7	15	1	0	28	2806
0.709	1	0	2	1	71	3	0	0	12	15	1	0	28	4809
0.713	1	0	1	2	71	7	0	0	12	15	1	0	28	4809
0.714	1	0	2	1	71	8	0	0	6	15	1	0	28	2404
0.714	1	0	1	2	71	8	0	6	7	14	1	0	28	2806
0.718	1	0	2	1	72	2	0	0	6	14	1	0	28	2404
0.718	1	0	1	2	72	2	0	6	7	15	1	0	28	2806
0.719	1	0	2	1	72	3	0	0	6	15	1	0	28	2404
0.719	1	0	1	2	72	3	0	6	7	14	1	0	28	2806
0.723	1	0	2	1	72	7	0	0	6	14	1	0	28	2404
0.723	1	0	1	2	72	7	0	6	7	15	1	0	28	2806
0.724	1	0	2	1	72	8	0	0	6	15	1	0	28	2404
0.724	1	0	1	2	72	8	0	6	7	14	1	0	28	2806
0.728	1	0	2	1	73	2	0	0	6	14	1	0	28	2404
0.728	1	0	1	2	73	2	0	6	7	15	1	0	28	2806
0.729	1	0	2	1	73	3	0	0	6	15	1	0	28	2404
0.729	1	0	1	2	73	3	0	6	7	14	1	0	28	2806
0.733	1	0	2	1	73	7	0	0	6	14	1	0	28	2404
0.733	1	0	1	2	73	7	0	6	7	15	1	0	28	2806
0.734	1	0	2	1	73	8	0	0	6	15	1	0	28	2404
0.734	1	0	1	2	73	8	0	6	7	14	1	0	28	2806
0.738	1	0	2	1	74	2	0	0	6	14	1	0	28	2404
0.738	1	0	1	2	74	2	0	6	7	15	1	0	28	2806
0.739	1	0	2	1	74	3	0	0	6	15	1	0	28	2404
0.739	1	0	1	2	74	3	0	6	7	14	1	0	28	2806
0.743	1	0	2	1	74	7	0	0	6	14	1	0	28	2404
0.743	1	0	1	2	74	7	0	6	7	15	1	0	28	2806
0.744	1	0	2	1	74	8	0	0	6	15	1	0	28	2404
0.744	1	0	1	2	74	8	0	6	7	14	1	0	28	2806
0.748	1	0	2	1	75	2	0	0	6	14	1	0	28	2404
0.748	1	0	1	2	75	2	0	6	7	15	1	0	28	2806
0.749	1	0	2	1	75	3	0	0	6	15	1	0	28	2404
0.749	1	0	1	2	75	3	0	6	7	14	1	0	28	2806
0.753	1	0	2	1	75	7	0	0	6	14	1	0	28	2404
0.753	1	0	1	2	75	7	0	6	7	15	1	0	28	2806
0.754	1	0	2	1	75	8	0	0	6	15	1	0	28	2404
0.754	1	0	1	2	75	8	0	6	7	14	1	0	28	2806
0.758	1	0	2	1	76	2	0	0	6	14	1	0	28	2404
0.758	1	0	1	2	76	2	0	6	7	15	1	0	28	2806
0.759	1	0	2	1	76	3	0	0	6	15	1	0	28	2404
0.759	1	0	1	2	76	3	0	6	7	14	1	0	28	2806
0.763	1	0	2	1	76	7	0	0	6	14	1	0	28	2404
0.763	1	0	1	2	76	7	0	6	7	15	1	0	28	2806
0.764	1	0	2	1	76	8	0	0	6	15	1	0	28	2404
0.764	1	0	1	2	76	8	0	6	7	14	1	0	28	2806
0.768	1	0	2	1	77	2	0	0	6	14	1	0	28	2404
0.768	1	0	1	2	77	2	0	6	7	15	1	0	28	2806
0.769	1	0	2	1	77	3	0	0	6	15	1	0	28	2404
0.769	1	0	1	2	77	3	0	6	7	14	1	0	28	2806
0.773	1	0	2	1	77	7	0	0	6	14	1	0	28	2404
0.773	1	0	1	2	77	7	0	6	7	15	1	0	28	2806
0.774	1	0	2	1	77	8	0	0	6	15	1	0	28	2404
0.774	1	0	1	2	77	8	0	6	7	14	1	0	28	2806
0.778	1	0	2	1	78	2	0	0	6	14	1	0	28	2404
0.778	1	0	1	2	78	2	0	6	7	15	1	0	28	2806
0.779	1	0	2	1	78	3	0	0	6	15	1	0	28	2404
0.779	1	0	1	2	78	3	0	6	7	14	1	0	28	2806
0.783	1	0	2	1	78	7	0	0	6	14	1	0	28	2404
0.783	1	0	1	2	78	7	0	6	7	15	1	0	28	2806
0.784	1	0	2	1	78	8	0	0	6	15	1	0	28	2404
0.784	1	0	1	2	78	8	0	6	7	14	1	0	28	2806
0.788	1	0	2	1	79	2	0	0	6	14	1	0	28	2404
0.788	1	0	1	2	79	2	0	6	7	15	1	0	28	2806
0.789	1	0	2	1	79	3	0	0	6	15	1	0	28	2404
0.789	1	0	1	2	79	3	0	6	7	14	1	0	28	2806
0.793	1	0	2	1	79	7	0	0	6	14	1	0	28	2404
0.793	1	0	1	2	79	7	0	6	7	15	1	0	28	2806
0.794	1	0	2	1	79	8	0	0	6	15	1	0	28	2404
