Time	CellId	RNTI	BWPId	SINR(dB)
0.651	2	1	0	40.8507
0.651	4	1	2	41.2644
0.651929	2	1	0	40.8507
0.651929	4	1	2	41.2644
0.655	2	1	0	40.8507
0.655	4	1	2	41.2644
0.656	2	1	0	40.8507
0.656	4	1	2	41.2644
0.656929	2	1	0	40.8507
0.656929	4	1	2	41.2644
0.66	2	1	0	40.8507
0.66	4	1	2	41.2644
0.661	2	1	0	40.8507
0.661	4	1	2	41.2644
0.661929	2	1	0	40.8507
0.661929	4	1	2	41.2644
0.665	2	1	0	40.8507
0.665	4	1	2	41.2644
0.666	2	1	0	40.8507
0.666	4	1	2	41.2644
0.666929	2	1	0	40.8507
0.666929	4	1	2	41.2644
0.67	2	1	0	40.8507
0.67	4	1	2	41.2644
0.671	2	1	0	40.8507
0.671	4	1	2	41.2644
0.671929	2	1	0	40.8507
0.671929	4	1	2	41.2644
0.675	2	1	0	40.8507
0.675	4	1	2	41.2644
0.676	2	1	0	40.8507
0.676	4	1	2	41.2644
0.676929	2	1	0	40.8507
0.676929	4	1	2	41.2644
0.68	2	1	0	40.8507
0.68	4	1	2	41.2644
0.681	2	1	0	40.8507
0.681	4	1	2	41.2644
0.681929	2	1	0	40.8507
0.681929	4	1	2	41.2644
0.685	2	1	0	40.8507
0.685	4	1	2	41.2644
0.686	2	1	0	40.8507
0.686	4	1	2	41.2644
0.686929	2	1	0	40.8507
0.686929	4	1	2	41.2644
0.69	2	1	0	40.8507
0.69	4	1	2	41.2644
0.691	2	1	0	40.8507
0.691	4	1	2	41.2644
0.691929	2	1	0	40.8507
0.691929	4	1	2	41.2644
0.695	2	1	0	40.8507
0.695	4	1	2	41.2644
0.696	2	1	0	40.8507
0.696	4	1	2	41.2644
0.696929	2	1	0	40.8507
0.696929	4	1	2	41.2644
0.7	2	1	0	40.8507
0.7	4	1	2	41.2644
0.701	2	1	0	40.8507
0.701	4	1	2	41.2644
0.701929	2	1	0	40.8507
0.701929	4	1	2	41.2644
0.705	2	1	0	40.8507
0.705	4	1	2	41.2644
0.706	2	1	0	40.8507
0.706	4	1	2	41.2644
0.706929	2	1	0	40.8507
0.706929	4	1	2	41.2644
0.71	2	1	0	40.8507
0.71	4	1	2	41.2644
0.711	2	1	0	40.8507
0.711	4	1	2	41.2644
0.711929	2	1	0	40.8507
0.711929	4	1	2	41.2644
0.715	2	1	0	40.8507
0.715	4	1	2	41.2644
0.716	2	1	0	40.8507
0.716	4	1	2	41.2644
0.716929	2	1	0	40.8507
0.716929	4	1	2	41.2644
0.72	2	1	0	40.8507
0.72	4	1	2	41.2644
0.721	2	1	0	40.8507
0.721	4	1	2	41.2644
0.721929	2	1	0	40.8507
0.721929	4	1	2	41.2644
0.725	2	1	0	40.8507
0.725	4	1	2	41.2644
0.726	2	1	0	40.8507
0.726	4	1	2	41.2644
0.726929	2	1	0	40.8507
0.726929	4	1	2	41.2644
0.73	2	1	0	40.8507
0.73	4	1	2	41.2644
0.731	2	1	0	40.8507
0.731	4	1	2	41.2644
0.731929	2	1	0	40.8507
0.731929	4	1	2	41.2644
0.735	2	1	0	40.8507
0.735	4	1	2	41.2644
0.736	2	1	0	40.8507
0.736	4	1	2	41.2644
0.736929	2	1	0	40.8507
0.736929	4	1	2	41.2644
0.74	2	1	0	40.8507
0.74	4	1	2	41.2644
0.741	2	1	0	40.8507
0.741	4	1	2	41.2644
0.741929	2	1	0	40.8507
0.741929	4	1	2	41.2644
0.745	2	1	0	40.8507
0.745	4	1	2	41.2644
0.746	2	1	0	40.8507
0.746	4	1	2	41.2644
0.746929	2	1	0	40.8507
0.746929	4	1	2	41.2644
0.75	2	1	0	40.8507
0.75	4	1	2	41.2644
0.751	2	1	0	40.8507
0.751	4	1	2	41.2644
0.751929	2	1	0	40.8507
0.751929	4	1	2	41.2644
0.755	2	1	0	40.8507
0.755	4	1	2	41.2644
0.756	2	1	0	40.8507
0.756	4	1	2	41.2644
0.756929	2	1	0	40.8507
0.756929	4	1	2	41.2644
0.76	2	1	0	40.8507
0.76	4	1	2	41.2644
0.761	2	1	0	40.8507
0.761	4	1	2	41.2644
